bikeID,Age,Gender,TripDuration,StartStation,EndStation
16616,31,MALE,00:22:43,E 11 St & 1 Ave,Centre St & Chambers St
24290,49,MALE,00:11:43,W 21 St & 6 Ave,E 25 St & 1 Ave
19225,40,MALE,00:16:14,Broadway & Berry St,Leonard St & Meeker Ave
23022,63,MALE,00:17:37,W 14 St & The High Line,W 46 St & 11 Ave
23497,67,MALE,00:12:56,Grand Army Plaza & Central Park S,9 Ave & W 45 St
17371,64,FEMALE,00:15:23,Lispenard St & Broadway,State St & Smith St
16330,35,MALE,00:23:03,N 11 St & Wythe Ave,Lefferts Pl & Franklin Ave
16601,43,MALE,00:21:29,South End Ave & Liberty St,Lafayette St & Jersey St
22440,43,MALE,00:12:07,Pershing Square North,E 16 St & Irving Pl
23788,40,FEMALE,00:21:33,South End Ave & Liberty St,Lafayette St & Jersey St
19740,35,MALE,00:21:49,W 4 St & 7 Ave S,W 49 St & 8 Ave
23970,30,MALE,00:08:25,Christopher St & Greenwich St,St Marks Pl & 2 Ave
18653,46,FEMALE,00:15:09,W 26 St & 10 Ave,Stanton St & Chrystie St
22417,51,MALE,00:19:04,Broadway & W 36 St,Broadway & W 24 St
20176,34,MALE,00:13:10,E 9 St & Avenue C,E 33 St & 2 Ave
23209,42,MALE,00:08:31,3 Ave & E 62 St,E 53 St & Madison Ave
